comuna_id,poblacion,barrios
1,223554,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat, Constitución"
2,161645,"Recoleta"
3,196240,"Balvanera, San Cristóbal"
4,229240,"La Boca, Barracas, Parque Patricios, Nueva Pompeya"
5,194271,"Almagro, Boedo"
6,203043,"Caballito"
7,215896,"Flores, Parque Chacabuco"
8,204367,"Villa Soldati, Villa Riachuelo, Villa Lugano"
9,169063,"Liniers, Mataderos, Parque Avellaneda"
10,173004,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sársfield, Villa Luro"
11,204601,"Villa Gral. Mitre, Villa Devoto, Villa del Parque, Villa Santa Rita"
12,236887,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón"
13,264385,"Núñez, Belgrano, Colegiales"
14,248635,"Palermo"
15,196876,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía, Parque Chas"
