year,epi_week,comuna_id,confirmed_cases,temp_max_mean,temp_min_mean,temp_mean,precipitation,humidity_mean,heat_index_mean,temp_mean_anomaly,precipitation_anomaly,humidity_mean_anomaly
2023,1,1,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,2,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,3,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,4,1,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,5,2,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,6,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,7,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,8,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,9,1,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,10,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,11,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,12,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,13,1,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,14,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,1,15,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838
2023,2,1,3,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
2023,2,2,0,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
2023,2,3,0,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
2023,2,4,0,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
2023,2,5,0,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
2023,2,6,0,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
2023,2,7,1,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
2023,2,8,0,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
2023,2,9,1,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
2023,2,10,0,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071
