year,epi_week,comuna_id,confirmed_cases
2023,1,1,0
2023,1,2,0
2023,1,3,0
2023,1,4,1
2023,1,5,2
2023,1,6,0
2023,1,7,0
2023,1,8,0
2023,1,9,1
2023,1,10,0
2023,1,11,0
2023,1,12,0
2023,1,13,1
2023,1,14,0
2023,1,15,0
2023,2,1,3
2023,2,2,0
2023,2,3,0
2023,2,4,0
2023,2,5,0
2023,2,6,0
2023,2,7,1
2023,2,8,0
2023,2,9,1
2023,2,10,0
2023,2,11,0
2023,2,12,0
2023,2,13,1
2023,2,14,0
2023,2,15,0
2023,3,1,1
2023,3,2,0
2023,3,3,0
2023,3,4,0
2023,3,5,0
2023,3,6,1
2023,3,7,0
2023,3,8,0
2023,3,9,0
2023,3,10,0
2023,3,11,0
2023,3,12,0
2023,3,13,0
2023,3,14,0
2023,3,15,0
2023,4,1,0
2023,4,2,0
2023,4,3,0
2023,4,4,0
2023,4,5,0
2023,4,6,0
2023,4,7,1
2023,4,8,0
2023,4,9,0
2023,4,10,0
2023,4,11,1
2023,4,12,0
2023,4,13,0
2023,4,14,0
2023,4,15,0
2023,5,1,3
2023,5,2,1
2023,5,3,1
2023,5,4,1
2023,5,5,0
2023,5,6,0
2023,5,7,4
2023,5,8,1
2023,5,9,3
2023,5,10,0
2023,5,11,3
2023,5,12,0
2023,5,13,0
2023,5,14,0
2023,5,15,0
2023,6,1,4
2023,6,2,1
2023,6,3,0
2023,6,4,1
2023,6,5,0
2023,6,6,0
2023,6,7,3
2023,6,8,0
2023,6,9,3
2023,6,10,1
2023,6,11,1
2023,6,12,2
2023,6,13,0
2023,6,14,0
2023,6,15,0
2023,7,1,5
2023,7,2,0
2023,7,3,1
2023,7,4,0
2023,7,5,0
2023,7,6,0
2023,7,7,3
2023,7,8,4
2023,7,9,12
2023,7,10,0
2023,7,11,5
2023,7,12,0
2023,7,13,0
2023,7,14,0
2023,7,15,0
2023,8,1,7
2023,8,2,1
2023,8,3,1
2023,8,4,2
2023,8,5,0
2023,8,6,0
2023,8,7,5
