temp_max,temp_min,temp_mean,precipitation,humidity_max,humidity_min,date
31.2,23.0,26.8,0.1,74,29,2022-01-01
34.4,21.1,28.1,0.8,84,30,2022-01-02
38.3,22.9,30.2,0.9,76,22,2022-01-03
36.3,22.9,29.2,0.4,57,18,2022-01-04
27.7,16.4,21.7,0.0,54,21,2022-01-05
28.3,18.3,22.9,0.0,57,21,2022-01-06
28.9,20.2,24.3,0.0,66,28,2022-01-07
30.2,21.3,25.1,0.0,67,26,2022-01-08
32.2,20.7,25.9,0.0,65,20,2022-01-09
34.5,22.0,28.0,0.0,73,17,2022-01-10
40.2,23.0,31.4,0.0,61,15,2022-01-11
32.4,21.9,26.5,0.0,61,29,2022-01-12
38.2,22.8,29.3,0.0,61,8,2022-01-13
41.5,24.3,32.8,0.0,64,12,2022-01-14
39.0,27.6,32.4,1.6,63,22,2022-01-15
34.9,23.3,28.6,3.2,83,35,2022-01-16
24.0,20.3,21.8,18.1,97,79,2022-01-17
22.9,20.7,21.6,21.0,95,87,2022-01-18
26.4,21.3,23.3,4.9,97,75,2022-01-19
29.7,22.1,25.3,1.3,93,58,2022-01-20
34.4,24.0,27.6,10.2,94,48,2022-01-21
29.9,22.9,25.1,0.3,94,65,2022-01-22
27.6,20.4,23.7,10.7,97,65,2022-01-23
29.9,22.0,25.8,0.0,91,55,2022-01-24
31.1,23.1,25.3,15.2,95,64,2022-01-25
27.3,17.0,22.8,10.0,96,63,2022-01-26
23.3,13.5,18.2,0.0,74,40,2022-01-27
24.5,16.3,20.3,0.0,75,32,2022-01-28
27.7,18.2,22.7,0.0,79,39,2022-01-29
28.8,20.2,24.4,0.0,71,37,2022-01-30
26.8,16.8,22.4,0.0,80,20,2022-01-31
28.9,17.8,23.1,0.0,61,24,2022-02-01
33.6,21.7,26.8,0.3,65,23,2022-02-02
26.9,19.6,22.8,27.4,98,61,2022-02-03
29.4,19.9,23.7,2.4,94,46,2022-02-04
22.6,16.4,19.4,7.5,95,59,2022-02-05
21.6,13.4,17.6,0.0,87,41,2022-02-06
24.8,14.6,19.5,0.0,87,38,2022-02-07
24.7,16.1,20.4,0.0,79,42,2022-02-08
27.2,17.9,22.1,0.0,76,35,2022-02-09
30.3,20.1,24.5,0.0,66,28,2022-02-10
30.4,17.5,23.2,0.3,72,33,2022-02-11
23.2,13.1,17.4,5.1,94,40,2022-02-12
26.6,13.7,20.1,0.0,58,23,2022-02-13
30.8,16.8,23.7,0.0,54,21,2022-02-14
32.6,19.5,25.9,0.0,54,24,2022-02-15
36.2,21.5,28.3,0.0,52,18,2022-02-16
26.8,17.6,21.7,0.0,68,41,2022-02-17
27.4,16.4,21.5,0.0,75,37,2022-02-18
29.8,19.7,23.9,0.0,81,32,2022-02-19
26.2,18.5,21.5,6.0,96,55,2022-02-20
28.0,16.7,22.1,0.0,84,38,2022-02-21
29.2,18.3,23.4,0.0,76,33,2022-02-22
26.6,18.7,22.7,0.0,79,46,2022-02-23
24.9,20.1,21.7,4.5,92,68,2022-02-24
30.5,17.1,23.8,0.0,89,22,2022-02-25
32.7,21.7,25.6,52.0,96,45,2022-02-26
26.4,21.7,23.1,46.7,99,79,2022-02-27
27.0,17.2,22.1,0.0,98,30,2022-02-28
26.4,14.8,20.5,0.0,65,37,2022-03-01
29.2,17.6,23.0,0.0,61,31,2022-03-02
25.7,18.8,21.9,0.0,78,48,2022-03-03
30.6,20.3,25.0,0.3,81,40,2022-03-04
28.8,21.5,24.3,0.9,91,50,2022-03-05
28.3,19.0,23.3,0.2,96,48,2022-03-06
27.2,18.0,22.7,10.0,98,34,2022-03-07
26.3,16.0,21.5,0.0,69,25,2022-03-08
21.1,17.2,19.0,2.5,91,63,2022-03-09
24.5,15.7,19.6,0.4,85,49,2022-03-10
24.6,14.3,19.3,0.0,62,33,2022-03-11
23.5,13.2,18.2,0.0,69,36,2022-03-12
24.2,14.9,19.3,0.0,73,34,2022-03-13
28.8,15.2,21.7,0.0,62,31,2022-03-14
30.0,18.0,23.9,0.0,75,36,2022-03-15
28.9,19.4,24.1,0.0,71,30,2022-03-16
30.8,19.7,24.7,0.0,83,31,2022-03-17
21.0,14.0,16.7,4.7,94,43,2022-03-18
21.3,10.1,15.5,0.0,60,20,2022-03-19
20.1,13.9,16.9,0.0,68,43,2022-03-20
22.5,15.1,18.7,0.0,66,42,2022-03-21
24.2,18.5,20.7,0.0,88,59,2022-03-22
25.6,18.7,21.5,3.3,97,60,2022-03-23
20.8,9.7,14.5,8.2,97,55,2022-03-24
16.4,8.8,13.2,4.7,99,80,2022-03-25
22.7,15.6,17.9,0.2,98,58,2022-03-26
26.3,14.2,19.6,0.0,93,38,2022-03-27
26.8,16.0,21.0,0.0,73,37,2022-03-28
29.1,16.0,20.7,0.9,86,27,2022-03-29
17.5,9.6,13.5,0.0,58,28,2022-03-30
19.1,8.6,13.6,0.0,65,28,2022-03-31
19.1,10.2,14.8,0.0,67,34,2022-04-01
21.2,13.1,17.2,0.0,74,38,2022-04-02
24.2,15.6,18.2,0.8,95,49,2022-04-03
22.9,10.0,16.1,0.0,53,14,2022-04-04
24.4,12.0,17.9,0.0,47,22,2022-04-05
