Modelo,Split,Horizonte,MAE,RMSE,MAPE,R2,N
LSTM simple,Validation,0,96.51,161.41,1591.3,-0.101,210
LSTM simple,Test,0,99.22,99.22,7762.7,-13424.177,990
LSTM apilado,Validation,0,95.95,161.19,1579.0,-0.098,210
LSTM apilado,Test,0,98.48,98.48,7704.1,-13224.482,990
LSTM simple,Validation,1,38.09,123.67,233.1,-0.037,210
LSTM simple,Test,1,13.32,13.34,967.7,-241.641,990
LSTM apilado,Validation,1,62.16,123.48,1028.4,-0.034,210
LSTM apilado,Test,1,58.98,58.99,4580.1,-4744.294,990
LSTM simple,Validation,2,36.74,84.66,591.6,-0.007,210
LSTM simple,Test,2,31.16,31.17,2379.0,-1323.965,990
LSTM apilado,Validation,2,75.08,100.28,1568.1,-0.413,210
LSTM apilado,Test,2,78.43,78.44,6118.5,-8388.805,990
LSTM simple,Validation,3,16.67,65.61,100.0,-0.069,210
LSTM simple,Test,3,0.18,0.87,100.0,-0.044,990
LSTM apilado,Validation,3,16.67,65.61,100.0,-0.069,210
LSTM apilado,Test,3,0.18,0.87,100.0,-0.044,990
LSTM simple,Validation,4,10.54,45.6,74.2,-0.045,210
LSTM simple,Test,4,0.92,1.13,27.8,-0.748,990
LSTM apilado,Validation,4,29.88,48.54,742.6,-0.183,210
LSTM apilado,Test,4,29.27,29.28,2216.4,-1170.406,990
