Modelo,Split,Horizonte,MAE,RMSE,R2,N
Ensemble,Validation,0,24.92,107.56,0.58,390
Persistencia,Validation,0,16.81,43.1,0.932,390
XGBoost,Validation,0,24.92,107.56,0.58,390
LSTM+aug,Validation,0,96.51,161.41,-0.101,210
Ensemble,Validation,1,31.23,78.47,0.776,390
Persistencia,Validation,1,31.23,78.47,0.776,390
XGBoost,Validation,1,34.09,125.22,0.43,390
LSTM+aug,Validation,1,38.38,123.46,-0.033,210
Ensemble,Validation,2,44.92,110.54,0.557,390
Persistencia,Validation,2,44.92,110.54,0.557,390
XGBoost,Validation,2,41.82,140.77,0.281,390
LSTM+aug,Validation,2,38.85,85.0,-0.015,210
Ensemble,Validation,3,16.67,65.61,-0.069,210
Persistencia,Validation,3,57.32,138.88,0.301,390
XGBoost,Validation,3,37.08,131.75,0.371,390
LSTM+aug,Validation,3,16.67,65.61,-0.069,210
Ensemble,Validation,4,10.57,45.58,-0.044,210
Persistencia,Validation,4,67.93,164.84,0.016,390
XGBoost,Validation,4,45.54,145.89,0.229,390
LSTM+aug,Validation,4,10.57,45.58,-0.044,210
Ensemble,Test,0,0.35,0.73,0.157,1170
Persistencia,Test,0,0.17,0.71,0.186,1170
XGBoost,Test,0,0.35,0.73,0.157,1170
LSTM+aug,Test,0,99.22,99.22,-13424.178,990
Ensemble,Test,1,0.18,0.68,0.273,1155
Persistencia,Test,1,0.18,0.68,0.273,1155
XGBoost,Test,1,0.94,2.34,-7.679,1155
LSTM+aug,Test,1,14.43,14.45,-279.501,975
Ensemble,Test,2,0.2,0.83,-0.081,1140
Persistencia,Test,2,0.2,0.83,-0.081,1140
XGBoost,Test,2,1.96,5.42,-44.918,1140
LSTM+aug,Test,2,34.5,34.51,-1576.07,960
Ensemble,Test,3,0.19,0.9,-0.046,945
Persistencia,Test,3,0.22,0.86,-0.139,1125
XGBoost,Test,3,2.7,6.72,-68.711,1125
LSTM+aug,Test,3,0.19,0.9,-0.046,945
Ensemble,Test,4,1.01,1.21,-0.898,930
Persistencia,Test,4,0.23,0.95,-0.383,1110
XGBoost,Test,4,3.02,6.79,-69.221,1110
LSTM+aug,Test,4,1.01,1.21,-0.898,930
