Feature,Importancia,Horizonte,Label,Categoria,Metodo
cases_lag1_norm,0.0,3,h=3,Casos propios,SHAP GradientExplainer
cases_lag2_norm,0.0,3,h=3,Casos propios,SHAP GradientExplainer
cases_lag3_norm,0.0,3,h=3,Casos propios,SHAP GradientExplainer
cases_lag4_norm,0.0,3,h=3,Casos propios,SHAP GradientExplainer
incidencia_lag1_norm,0.0,3,h=3,Casos propios,SHAP GradientExplainer
incidencia_lag2_norm,0.0,3,h=3,Casos propios,SHAP GradientExplainer
incidencia_lag3_norm,0.0,3,h=3,Casos propios,SHAP GradientExplainer
incidencia_lag4_norm,0.0,3,h=3,Casos propios,SHAP GradientExplainer
casos_vecinas_lag1,0.0,3,h=3,Vecindad espacial,SHAP GradientExplainer
incidencia_vecinas_lag1,0.0,3,h=3,Vecindad espacial,SHAP GradientExplainer
temp_mean_lag1_norm,0.0,3,h=3,Temperatura,SHAP GradientExplainer
temp_mean_lag2_norm,0.0,3,h=3,Temperatura,SHAP GradientExplainer
temp_mean_lag3_norm,0.0,3,h=3,Temperatura,SHAP GradientExplainer
temp_mean_lag4_norm,0.0,3,h=3,Temperatura,SHAP GradientExplainer
precipitation_lag1_norm,0.0,3,h=3,Precipitación,SHAP GradientExplainer
precipitation_lag2_norm,0.0,3,h=3,Precipitación,SHAP GradientExplainer
precipitation_lag3_norm,0.0,3,h=3,Precipitación,SHAP GradientExplainer
precipitation_lag4_norm,0.0,3,h=3,Precipitación,SHAP GradientExplainer
humidity_mean_lag1_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
humidity_mean_lag2_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
humidity_mean_lag3_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
humidity_mean_lag4_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
heat_index_mean_lag1_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
heat_index_mean_lag2_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
heat_index_mean_lag3_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
heat_index_mean_lag4_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
temp_mean_anomaly_lag1_norm,0.0,3,h=3,Temperatura,SHAP GradientExplainer
temp_mean_anomaly_lag2_norm,0.0,3,h=3,Temperatura,SHAP GradientExplainer
temp_mean_anomaly_lag3_norm,0.0,3,h=3,Temperatura,SHAP GradientExplainer
temp_mean_anomaly_lag4_norm,0.0,3,h=3,Temperatura,SHAP GradientExplainer
precipitation_anomaly_lag1_norm,0.0,3,h=3,Precipitación,SHAP GradientExplainer
precipitation_anomaly_lag2_norm,0.0,3,h=3,Precipitación,SHAP GradientExplainer
precipitation_anomaly_lag3_norm,0.0,3,h=3,Precipitación,SHAP GradientExplainer
precipitation_anomaly_lag4_norm,0.0,3,h=3,Precipitación,SHAP GradientExplainer
humidity_mean_anomaly_lag1_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
humidity_mean_anomaly_lag2_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
humidity_mean_anomaly_lag3_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
humidity_mean_anomaly_lag4_norm,0.0,3,h=3,Humedad/Calor,SHAP GradientExplainer
semana_sin,0.0,3,h=3,Estacionalidad,SHAP GradientExplainer
semana_cos,0.0,3,h=3,Estacionalidad,SHAP GradientExplainer
is_epidemic_season,0.0,3,h=3,Estacionalidad,SHAP GradientExplainer
mes_aprox,0.0,3,h=3,Estacionalidad,SHAP GradientExplainer
es_comuna_1,0.0,3,h=3,Geografía,SHAP GradientExplainer
poblacion,0.0,3,h=3,Geografía,SHAP GradientExplainer
cases_lag1_norm,0.0,4,h=4,Casos propios,SHAP GradientExplainer
cases_lag2_norm,0.0,4,h=4,Casos propios,SHAP GradientExplainer
cases_lag3_norm,0.0,4,h=4,Casos propios,SHAP GradientExplainer
cases_lag4_norm,0.0,4,h=4,Casos propios,SHAP GradientExplainer
incidencia_lag1_norm,0.0,4,h=4,Casos propios,SHAP GradientExplainer
incidencia_lag2_norm,0.0,4,h=4,Casos propios,SHAP GradientExplainer
incidencia_lag3_norm,0.0,4,h=4,Casos propios,SHAP GradientExplainer
incidencia_lag4_norm,0.0,4,h=4,Casos propios,SHAP GradientExplainer
casos_vecinas_lag1,0.0,4,h=4,Vecindad espacial,SHAP GradientExplainer
incidencia_vecinas_lag1,0.0,4,h=4,Vecindad espacial,SHAP GradientExplainer
temp_mean_lag1_norm,0.0,4,h=4,Temperatura,SHAP GradientExplainer
temp_mean_lag2_norm,0.0,4,h=4,Temperatura,SHAP GradientExplainer
temp_mean_lag3_norm,0.0,4,h=4,Temperatura,SHAP GradientExplainer
temp_mean_lag4_norm,0.0,4,h=4,Temperatura,SHAP GradientExplainer
