Feature,Importancia,Horizonte,Label,Categoria
cases_lag1,39.181,0,actual,Casos propios
cases_lag2,0.435,0,actual,Casos propios
cases_lag3,0.343,0,actual,Casos propios
cases_lag4,0.256,0,actual,Casos propios
incidencia_lag1,21.684,0,actual,Casos propios
incidencia_lag2,0.459,0,actual,Casos propios
incidencia_lag3,0.312,0,actual,Casos propios
incidencia_lag4,0.208,0,actual,Casos propios
casos_vecinas_lag1,0.31,0,actual,Vecindad espacial
incidencia_vecinas_lag1,3.147,0,actual,Vecindad espacial
temp_mean,0.269,0,actual,Temperatura
precipitation,0.174,0,actual,Precipitación
humidity_mean,0.23,0,actual,Humedad/Calor
heat_index_mean,0.414,0,actual,Humedad/Calor
temp_mean_anomaly,0.149,0,actual,Temperatura
precipitation_anomaly,0.133,0,actual,Precipitación
humidity_mean_anomaly,0.204,0,actual,Humedad/Calor
temp_mean_lag1,2.662,0,actual,Temperatura
temp_mean_lag2,0.416,0,actual,Temperatura
temp_mean_lag3,0.669,0,actual,Temperatura
temp_mean_lag4,3.036,0,actual,Temperatura
precipitation_lag1,0.185,0,actual,Precipitación
precipitation_lag2,0.158,0,actual,Precipitación
precipitation_lag3,0.794,0,actual,Precipitación
precipitation_lag4,0.163,0,actual,Precipitación
humidity_mean_lag1,0.628,0,actual,Humedad/Calor
humidity_mean_lag2,1.416,0,actual,Humedad/Calor
humidity_mean_lag3,1.123,0,actual,Humedad/Calor
humidity_mean_lag4,0.423,0,actual,Humedad/Calor
heat_index_mean_lag1,1.508,0,actual,Humedad/Calor
heat_index_mean_lag2,4.183,0,actual,Humedad/Calor
heat_index_mean_lag3,0.194,0,actual,Humedad/Calor
heat_index_mean_lag4,0.074,0,actual,Humedad/Calor
temp_mean_anomaly_lag1,0.369,0,actual,Temperatura
temp_mean_anomaly_lag2,0.315,0,actual,Temperatura
temp_mean_anomaly_lag3,0.166,0,actual,Temperatura
temp_mean_anomaly_lag4,0.287,0,actual,Temperatura
precipitation_anomaly_lag1,1.329,0,actual,Precipitación
