Fold,Label,Año_inicio,SE_inicio,Año_fin,SE_fin,Modelo,Horizonte,MAE,N,Casos_media
1,2023-SE27,2023,27,2023,30,Ensemble,1,0.15,60,0.13
1,2023-SE27,2023,27,2023,30,Ensemble,2,0.12,60,0.13
1,2023-SE27,2023,27,2023,30,Persistencia,1,0.15,60,0.13
1,2023-SE27,2023,27,2023,30,Persistencia,2,0.12,60,0.13
1,2023-SE27,2023,27,2023,30,Persistencia,3,0.15,60,0.13
1,2023-SE27,2023,27,2023,30,Persistencia,4,0.13,60,0.13
2,2023-SE31,2023,31,2023,34,Ensemble,1,0.05,60,0.02
2,2023-SE31,2023,31,2023,34,Ensemble,2,0.03,60,0.02
2,2023-SE31,2023,31,2023,34,Persistencia,1,0.05,60,0.02
2,2023-SE31,2023,31,2023,34,Persistencia,2,0.03,60,0.02
2,2023-SE31,2023,31,2023,34,Persistencia,3,0.03,60,0.02
2,2023-SE31,2023,31,2023,34,Persistencia,4,0.03,60,0.02
3,2023-SE35,2023,35,2023,38,Ensemble,1,0.03,60,0.0
3,2023-SE35,2023,35,2023,38,Ensemble,2,0.07,60,0.0
3,2023-SE35,2023,35,2023,38,Persistencia,1,0.03,60,0.0
3,2023-SE35,2023,35,2023,38,Persistencia,2,0.07,60,0.0
3,2023-SE35,2023,35,2023,38,Persistencia,3,0.08,60,0.0
3,2023-SE35,2023,35,2023,38,Persistencia,4,0.08,60,0.0
4,2023-SE39,2023,39,2023,42,Ensemble,1,0.13,60,0.08
4,2023-SE39,2023,39,2023,42,Ensemble,2,0.15,60,0.08
4,2023-SE39,2023,39,2023,42,Persistencia,1,0.13,60,0.08
4,2023-SE39,2023,39,2023,42,Persistencia,2,0.15,60,0.08
4,2023-SE39,2023,39,2023,42,Persistencia,3,0.13,60,0.08
4,2023-SE39,2023,39,2023,42,Persistencia,4,0.15,60,0.08
5,2023-SE43,2023,43,2023,46,Ensemble,1,0.13,60,0.07
5,2023-SE43,2023,43,2023,46,Ensemble,2,0.13,60,0.07
5,2023-SE43,2023,43,2023,46,Persistencia,1,0.13,60,0.07
5,2023-SE43,2023,43,2023,46,Persistencia,2,0.13,60,0.07
5,2023-SE43,2023,43,2023,46,Persistencia,3,0.17,60,0.07
5,2023-SE43,2023,43,2023,46,Persistencia,4,0.33,60,0.07
6,2023-SE47,2023,47,2023,50,Ensemble,1,0.27,60,0.28
6,2023-SE47,2023,47,2023,50,Ensemble,2,0.45,60,0.28
6,2023-SE47,2023,47,2023,50,Persistencia,1,0.27,60,0.28
6,2023-SE47,2023,47,2023,50,Persistencia,2,0.45,60,0.28
6,2023-SE47,2023,47,2023,50,Persistencia,3,1.12,60,0.28
6,2023-SE47,2023,47,2023,50,Persistencia,4,2.62,60,0.28
7,2023-SE51,2023,51,2024,2,Ensemble,1,3.7,60,2.73
7,2023-SE51,2023,51,2024,2,Ensemble,2,5.5,60,2.73
7,2023-SE51,2023,51,2024,2,Persistencia,1,3.7,60,2.73
7,2023-SE51,2023,51,2024,2,Persistencia,2,5.5,60,2.73
7,2023-SE51,2023,51,2024,2,Persistencia,3,8.45,60,2.73
7,2023-SE51,2023,51,2024,2,Persistencia,4,14.6,60,2.73
8,2024-SE03,2024,3,2024,6,Ensemble,1,19.58,60,15.83
8,2024-SE03,2024,3,2024,6,Ensemble,2,41.62,60,15.83
8,2024-SE03,2024,3,2024,6,Persistencia,1,19.58,60,15.83
8,2024-SE03,2024,3,2024,6,Persistencia,2,41.62,60,15.83
8,2024-SE03,2024,3,2024,6,Persistencia,3,68.07,60,15.83
8,2024-SE03,2024,3,2024,6,Persistencia,4,97.32,60,15.83
9,2024-SE07,2024,7,2024,10,Ensemble,1,58.5,60,106.93
9,2024-SE07,2024,7,2024,10,Ensemble,2,84.28,60,106.93
9,2024-SE07,2024,7,2024,10,Persistencia,1,58.5,60,106.93
9,2024-SE07,2024,7,2024,10,Persistencia,2,84.28,60,106.93
9,2024-SE07,2024,7,2024,10,Persistencia,3,101.78,60,106.93
9,2024-SE07,2024,7,2024,10,Persistencia,4,110.1,60,106.93
10,2024-SE11,2024,11,2024,14,Ensemble,1,51.5,60,185.52
10,2024-SE11,2024,11,2024,14,Ensemble,2,70.12,60,185.52
10,2024-SE11,2024,11,2024,14,Persistencia,1,51.5,60,185.52
10,2024-SE11,2024,11,2024,14,Persistencia,2,70.12,60,185.52
10,2024-SE11,2024,11,2024,14,Persistencia,3,87.2,60,185.52
10,2024-SE11,2024,11,2024,14,Persistencia,4,101.77,60,185.52
11,2024-SE15,2024,15,2024,18,Ensemble,1,54.97,60,77.97
11,2024-SE15,2024,15,2024,18,Ensemble,2,74.98,60,77.97
11,2024-SE15,2024,15,2024,18,Persistencia,1,54.97,60,77.97
11,2024-SE15,2024,15,2024,18,Persistencia,2,74.98,60,77.97
